id,product_name,manufacturer,price,description
5c76389a8c302c6d7d6e179393031b97,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,£27.49,Product Description RailRoad 0-4-0 'Hogarth Stone' Ex-SR Box Contains 1x Locomotive
878048c41f3c249badb3704e160b4c6e,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Kato (USA),£273.60,Suitable for the following scale(s): N Scale
f910c6542ededa5abf81787c0fd87c99,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,£9.60,Suitable for the following scale(s): OO Scale
03a35de3f7af9814978e6de645cb8ffa,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,£119.50,"Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers, sliding cab roof hatch, NEM couplings, tender detail. Class: grange, designer: C.B. collett, entered service: 1936, number built: 80, purpose: mixed traffic, wheel configuration: 4-6-0, length: 253mm, motor: 5 pole skew wound. loco drive, DCC ready, livery: BR (late), finish: heavily weathered Box Contains 1x Train Model"
c68c3ae3b0ea3146beae99f3d4a6997c,Kato 3060-2 EF65 500 (F Model) Electric Locomotive,Kato,,Suitable for the following scale(s): N Scale
d27964f50577db8e46f2069b050c62c6,Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,Kato,,From 8-year-old: AgeTarget Gender: BoysFrom 8-year-old: AgeThe main production country: JapanTarget Gender: Boys
c3b2f6ec9cf6250c960c26ee8ad33509,Power Trains Freight Industrial (Pack of 4),Power Trains,,"Product Description 4 collectible cars that are perfect for any POWER TRAINS collection! Completely compatible, works on all track and with all engines! Box Contains 4 collectible carriages"
e9ef14a0253f074343b5441540d8471f,Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,Chuggington,,"Product Description The Chuggington Interactive Railway brings your favourite engines to life via SmartTalk(tm) technology! The Wash and Fuel Set features 33 total pieces, including an Interactive Brewster engine, a Chug Wash and Fuel Depot.As with all Chuggington Interactive engines, Brewster actually recognizes and reacts with other Chuggington Interactive engines and train stops! This set features over 175 sounds and phrases when used with other Chuggington Interactive products...the more pieces you add, the more interactive your world becomes! Chuggington Interactive is a magical open ended play system featuring iconic destinations and characters from the BBC's CBeebies top rated preschool show Chuggington. Box Contains 33 total piece Wash and Fuel Set"
0ca63377ca8015e585efa1d418f04756,Kumoyuni 74-0 Shonan Color (Model Train),Kato,£17.08,Japanese toys
42d20aa25e5902eff9f5d307bb38230e,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,£96.05,Suitable for the following scale(s): OO Scale
4aaa27925929708a6b56fd7e46b35208,Preiser 30495 Horse Drawn Wedding Coach (Closed),Preiser,£27.55,Suitable for the following scale(s): HO Scale
81b3ad5c07a31fa67e4dc8643afa3275,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,£24.50,Suitable for the following scale(s): HO Scale
26de90be8191b92ea208c2111c7090cd,Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Bachmann,£149.92,Suitable for the following scale(s): OO Scale
4eb5ea748ea030b14c3d1789f9578133,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,£12.87,Batteries sold separately: C x 1Rail is NOT included.
1b3d6d9f9c79db8c54c0c2cbb50de1cf,Roco 64723 OBB Railjet Economy Coach V,Roco,£49.95,Suitable for the following scale(s): HO Scale
79fd94b655dbcf797005e39e700eb3f1,Learning Curve Chuggington Interactive Brewster,Chuggington,,"Product Description An amazingly Interactive Chuggington World. Each Chuggington friend talks, reacts and interacts realistically with the Chuggington Interactive World. Each smart engine recognizes any other engine, reacts to any train stop and responds to your play. Engines recognise and ""magically"" talk to each other, trainig stops and set accessories.Brewster is a solid diesel-electric train built for heavy loads. He doesn’t always understand his own strength, which can make him a bit awkward and clumsy. He is very dependable and can always be relied on in a crisis--a tower of strength. Box Contains 1 x Interactive Brewster engine"
6c4062e5b0da136365915b470ec9d4a4,Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,£14.44,Batteries sold separately: AAA x 1
3b4be663a9878555100854f626202b17,Thomas and Friends Take-n-Play Molly,Fisher-Price,,"Product Description Take-n-Play Molly is a durable diecast engine that features ""Smart Magnets"" that connect either way, and allow you to connect other engines or tender at either the front or the back. It works with Fisher-Price Take-n-Play portable playsets. Box Contains 1 x Take-n-Play Molly"
